,protein,deg,closeness,betweeness,eigenvector,bridging,clustering_coefficient,cluster,cluster_size
1939,4932.YDR138W,10,0.26092514180714227,3.894632641086019e-05,0.0001352337554352811,3.866578054542933e-06,0.6666666666666666,152,13
1940,4932.YDR301W,39,0.2838272355957243,0.0029858878131884593,4.778655677034995e-05,5.857855138199143e-05,0.5114709851551957,42,39
1941,4932.YIL149C,24,0.26656872347371857,8.867663127926445e-05,0.00015944023926404692,4.985300328391572e-06,0.6630434782608695,95,57
1942,4932.YNL253W,6,0.2489898604863917,0.0,1.6726556848603576e-05,0.0,1.0,152,13
1943,4932.YIL115C,39,0.2807530301727843,0.0011027998578232569,0.0004724907984645239,2.5026512488284585e-05,0.5654520917678812,95,57
1944,4932.YML062C,6,0.2489898604863917,0.0,1.6726556848603576e-05,0.0,1.0,152,13
1945,4932.YKL057C,27,0.2870199490289129,4.626329047563241e-05,0.00017085743504151814,2.970558260806929e-06,0.7806267806267806,95,57
1946,4932.YDR457W,5,0.2733511884834282,0.0001445004959801961,0.00011431263040625846,0.00015286574533611772,0.1,52,5
1947,4932.YKL186C,7,0.27225741913971324,1.6575034487804837e-05,0.0005202291843154149,1.3321879216126534e-05,0.5238095238095238,152,13
1948,4932.YLR115W,40,0.2778155835318135,0.0007335001371815775,4.575120444908448e-05,1.5069092376626279e-05,0.514102564102564,42,39
1949,4932.YKL214C,1,0.2276275439085587,0.0,3.4737207041229727e-06,0.0,0.0,152,13
1950,4932.YNL139C,15,0.2730997575048081,0.00036675047840924527,0.000147493507993798,2.0436016601217917e-05,0.37142857142857144,152,13
1951,4932.YOR046C,77,0.30600580905087604,0.0014553422971227083,0.021007363471365875,1.8681925529896775e-05,0.6756664388243335,13,207
1952,4932.YJL061W,32,0.27687351644625297,8.601884721838081e-05,0.00029730343835651624,3.3220695041374436e-06,0.6935483870967742,95,57
1953,4932.YNL004W,5,0.24897087970727244,0.0,1.6624280012553216e-05,0.0,1.0,152,13
1954,4932.YHR167W,8,0.24902783072817386,1.8755585647850752e-07,1.69595976881222e-05,2.57443608796712e-08,0.8214285714285714,152,13
1955,4932.YER142C,4,0.22855143456962912,6.776280443968867e-05,1.0530192416530236e-06,2.5658229154387456e-05,0.3333333333333333,47,66
1956,4932.YDL200C,2,0.2137294679667561,1.9322207920078837e-06,6.091074015868531e-08,3.4779974256141902e-06,0.0,257,8
