,cluster,protein,degree,degree_centrality,eigenvector_centrality,betweenness_centrality
560,77,YOR014W,10,0.476,0.235,0.103
561,77,YPR040W,9,0.429,0.232,0.005
562,77,YDR075W,11,0.524,0.281,0.010
563,77,YDR435C,11,0.524,0.272,0.020
564,77,YMR028W,10,0.476,0.243,0.017
565,78,YDR211W,5,0.833,0.405,0.000
566,78,YOR260W,5,0.833,0.405,0.000
567,78,YDR283C,5,0.833,0.405,0.000
568,78,YGR083C,5,0.833,0.405,0.000
569,78,YKR026C,5,0.833,0.405,0.000
570,79,YGR249W,0,0.000,0.500,0.000
571,79,YGL073W,0,0.000,0.500,0.000
572,79,YJR147W,0,0.000,0.500,0.000
